Model,L,Iter,Success
llama-3.3-70b-versatile,50,12,1
llama-3.1-8b-instant,50,12,0
qwen/qwen3-32b,50,12,1
llama-3.3-70b-versatile,50,13,1
llama-3.1-8b-instant,50,13,0
qwen/qwen3-32b,50,13,0
llama-3.3-70b-versatile,50,14,1
llama-3.1-8b-instant,50,14,0
qwen/qwen3-32b,50,14,0
llama-3.3-70b-versatile,50,15,1
llama-3.1-8b-instant,50,15,0
qwen/qwen3-32b,50,15,0
llama-3.3-70b-versatile,50,16,1
llama-3.1-8b-instant,50,16,0
qwen/qwen3-32b,50,16,0
llama-3.3-70b-versatile,50,17,1
llama-3.1-8b-instant,50,17,0
qwen/qwen3-32b,50,17,0
llama-3.3-70b-versatile,50,18,1
llama-3.1-8b-instant,50,18,0
qwen/qwen3-32b,50,18,0
llama-3.3-70b-versatile,50,19,1
llama-3.1-8b-instant,50,19,0
qwen/qwen3-32b,50,19,0
llama-3.3-70b-versatile,50,20,1
llama-3.1-8b-instant,50,20,0
qwen/qwen3-32b,50,20,0
llama-3.3-70b-versatile,50,21,1
llama-3.1-8b-instant,50,21,0
qwen/qwen3-32b,50,21,0
llama-3.3-70b-versatile,50,22,1
llama-3.1-8b-instant,50,22,0
qwen/qwen3-32b,50,22,0
llama-3.3-70b-versatile,50,23,1
llama-3.1-8b-instant,50,23,0
qwen/qwen3-32b,50,23,0
llama-3.3-70b-versatile,50,24,1
llama-3.1-8b-instant,50,24,0
qwen/qwen3-32b,50,24,0
llama-3.3-70b-versatile,50,25,1
llama-3.1-8b-instant,50,25,0
qwen/qwen3-32b,50,25,0
llama-3.3-70b-versatile,50,26,1
llama-3.1-8b-instant,50,26,0
qwen/qwen3-32b,50,26,0
llama-3.3-70b-versatile,50,27,1
llama-3.1-8b-instant,50,27,0
qwen/qwen3-32b,50,27,0
llama-3.3-70b-versatile,50,28,1
llama-3.1-8b-instant,50,28,0
qwen/qwen3-32b,50,28,0
llama-3.3-70b-versatile,50,29,1
llama-3.1-8b-instant,50,29,0
qwen/qwen3-32b,50,29,0
llama-3.3-70b-versatile,50,30,1
llama-3.1-8b-instant,50,30,0
qwen/qwen3-32b,50,30,0
llama-3.3-70b-versatile,100,1,0
llama-3.1-8b-instant,100,1,0
qwen/qwen3-32b,100,1,0
llama-3.3-70b-versatile,100,2,0
llama-3.1-8b-instant,100,2,0
qwen/qwen3-32b,100,2,0
llama-3.3-70b-versatile,100,3,0
llama-3.1-8b-instant,100,3,0
qwen/qwen3-32b,100,3,0
llama-3.3-70b-versatile,100,4,0
llama-3.1-8b-instant,100,4,0
qwen/qwen3-32b,100,4,0
llama-3.3-70b-versatile,100,5,0
llama-3.1-8b-instant,100,5,0
qwen/qwen3-32b,100,5,0
llama-3.3-70b-versatile,100,6,0
llama-3.1-8b-instant,100,6,0
qwen/qwen3-32b,100,6,0
llama-3.3-70b-versatile,100,7,0
llama-3.1-8b-instant,100,7,0
qwen/qwen3-32b,100,7,0
llama-3.3-70b-versatile,100,8,0
llama-3.1-8b-instant,100,8,0
qwen/qwen3-32b,100,8,0
llama-3.3-70b-versatile,100,9,0
llama-3.1-8b-instant,100,9,0
qwen/qwen3-32b,100,9,0
llama-3.3-70b-versatile,100,10,0
llama-3.1-8b-instant,100,10,0
qwen/qwen3-32b,100,10,0
llama-3.3-70b-versatile,100,11,0
llama-3.1-8b-instant,100,11,0
qwen/qwen3-32b,100,11,0
llama-3.3-70b-versatile,100,12,0
llama-3.1-8b-instant,100,12,0
qwen/qwen3-32b,100,12,0
llama-3.3-70b-versatile,100,13,0
llama-3.1-8b-instant,100,13,0
qwen/qwen3-32b,100,13,0
llama-3.3-70b-versatile,100,14,0
llama-3.1-8b-instant,100,14,0
qwen/qwen3-32b,100,14,0
llama-3.3-70b-versatile,100,15,0
llama-3.1-8b-instant,100,15,0
qwen/qwen3-32b,100,15,0
llama-3.3-70b-versatile,100,16,0
llama-3.1-8b-instant,100,16,0
qwen/qwen3-32b,100,16,0
llama-3.3-70b-versatile,100,17,0
llama-3.1-8b-instant,100,17,0
qwen/qwen3-32b,100,17,0
llama-3.3-70b-versatile,100,18,0
llama-3.1-8b-instant,100,18,0
qwen/qwen3-32b,100,18,0
llama-3.3-70b-versatile,100,19,0
llama-3.1-8b-instant,100,19,0
qwen/qwen3-32b,100,19,0
llama-3.3-70b-versatile,100,20,0
llama-3.1-8b-instant,100,20,0
qwen/qwen3-32b,100,20,0
llama-3.3-70b-versatile,100,21,0
llama-3.1-8b-instant,100,21,0
qwen/qwen3-32b,100,21,0
llama-3.3-70b-versatile,100,22,0
llama-3.1-8b-instant,100,22,0
qwen/qwen3-32b,100,22,0
llama-3.3-70b-versatile,100,23,0
llama-3.1-8b-instant,100,23,0
qwen/qwen3-32b,100,23,0
llama-3.3-70b-versatile,100,24,0
llama-3.1-8b-instant,100,24,0
qwen/qwen3-32b,100,24,0
llama-3.3-70b-versatile,100,25,0
llama-3.1-8b-instant,100,25,0
qwen/qwen3-32b,100,25,0
llama-3.3-70b-versatile,100,26,0
llama-3.1-8b-instant,100,26,0
qwen/qwen3-32b,100,26,0
llama-3.3-70b-versatile,100,27,0
llama-3.1-8b-instant,100,27,0
qwen/qwen3-32b,100,27,0
llama-3.3-70b-versatile,100,28,0
llama-3.1-8b-instant,100,28,0
qwen/qwen3-32b,100,28,0
llama-3.3-70b-versatile,100,29,0
llama-3.1-8b-instant,100,29,0
qwen/qwen3-32b,100,29,0
llama-3.3-70b-versatile,100,30,0
llama-3.1-8b-instant,100,30,0
qwen/qwen3-32b,100,30,0
